Date,Description,Amount,Category
2024-10-01,Salary,80000,Income
2024-10-03,Rent,-20000,Expense
2024-10-05,Groceries,-8500,Expense
2024-10-07,Electricity Bill,-3000,Expense
2024-10-10,Internet Bill,-1200,Expense
2024-10-12,Freelance Income,10000,Income
2024-10-15,Movie Tickets,-1200,Entertainment
2024-10-17,Shopping,-5000,Expense
2024-10-20,Investment,-10000,Investment
2024-10-22,Restaurant,-1800,Food
2024-10-25,Petrol,-2500,Expense
2024-10-28,Phone Recharge,-400,Expense
2024-10-29,Dividend,2000,Income
2024-10-30,Gym Membership,-1500,Health
